# 数学者名 / Mathematicians
# reading	word	pos	flags
くろねっかー	クロネッカー	person
くんまー	Kummer	person
くんまー	クンマー	person
ぐらすまん	Grassmann	person
ぐらすまん	グラスマン	person
ぐらむ	Gram	person	common
ぐらむ	グラム	person	common
ぐりーん	Green	person	common
ぐりーん	グリーン	person	common
ぐろたんでぃーく	Grothendieck	person
ぐろたんでぃーく	グロタンディーク	person
ぐろもふ	Gromov	person
ぐろもふ	グロモフ	person
けーにひ	Konig	person
けーにひ	König	person
けーにひ	ケーニヒ	person
けーりー	Cayley	person
けーりー	ケーリー	person
げるふぁんと	Gelfand	person
げるふぁんと	ゲルファント	person
げーでる	Godel	person
げーでる	Gödel	person
げーでる	ゲーデル	person
こだいらくにひこ	Kodaira	person
こだいらくにひこ	小平邦彦	person
こばやししょうしち	Kobayashi	person
こばやししょうしち	小林昭七	person
こばやしとしゆき	Kobayashi	person
こばやしとしゆき	小林俊行	person
こるもごろふ	Kolmogorov	person
こるもごろふ	コルモゴロフ	person
こわれふすかや	Kovalevskaya	person
こわれふすかや	コワレフスカヤ	person
こんぬ	Connes	person
こんぬ	コンヌ	person
こーえん	Cohen	person
こーえん	コーエン	person
こーしー	Cauchy	person
こーしー	コーシー	person
ごるだん	Gordan	person
ごるだん	ゴルダン	person
ごれんしゅたいん	Gorenstein	person
ごれんしゅたいん	ゴレンシュタイン	person
ごーるどばっは	Goldbach	person
ごーるどばっは	ゴールドバッハ	person
さいとうきょうじ	Saito	person
さいとうきょうじ	齋藤恭司	person
さいとうたけし	Saito	person
さいとうたけし	斎藤毅	person
さいとうひろし	Saito	person
さいとうひろし	齋藤裕	person
さかいしょういちろう	Sakai	person
さかいしょういちろう	境正一郎	person
さとうだいはちろう	Sato	person
さとうだいはちろう	佐藤大八郎	person
さとうみきお	Sato	person
さとうみきお	佐藤幹夫	person
さりばん	Sullivan	person
さりばん	サリヴァン	person
さーすとん	Thurston	person
さーすとん	サーストン	person
ざいふぇると	Seifert	person
ざいふぇると	ザイフェルト	person
ざりすき	Zariski	person
ざりすき	ザリスキ	person
しおだてつじ	Shioda	person
しおだてつじ	塩田徹治	person
ししくらみつひろ	Shishikura	person
ししくらみつひろ	宍倉光広	person
しない	Sinai	person
しない	シナイ	person
しむらごろう	Shimura	person
しむらごろう	志村五郎	person
しゃのん	Shannon	person
しゃのん	シャノン	person
しゅてぃーふぇる	Stiefel	person
しゅてぃーふぇる	シュティーフェル	person
しゅばるつ	Schwartz	person
しゅばるつ	シュヴァルツ	person
しゅばれー	Chevalley	person
しゅばれー	シュヴァレー	person
しゅみっと	Schmidt	person
しゅみっと	シュミット	person
しゅらいあー	Schreier	person
しゅらいあー	シュライアー	person
しゅれーだー	Schroder	person
しゅれーだー	Schröder	person
しゅれーだー	シュレーダー	person
